NO.1,NO.2,diff-correlation
65,270,51.7815,
65,286,58.5386,
65,293,7.61308,
65,298,6.43047,
65,303,39.7657,
65,304,5.70485,
65,306,9.56215,
65,325,8.95097,
65,326,9.42084,
65,331,20.5754,
65,339,23.4494,
65,345,5.39646,
65,353,115.055,
65,360,12.6935,
65,363,8.36307,
65,364,31.0748,
65,371,27.7382,
65,374,8.54511,
65,376,19.284,
65,379,12.5679,
65,380,109.705,
65,385,5.12885,
66,72,99.0746,
66,113,218.311,
66,191,29.4549,
66,201,238.382,
66,388,10.4195,
67,69,137.327,
67,70,5.89449,
67,73,5.14826,
67,99,9.64011,
67,105,5.81524,
67,111,5.93723,
67,121,6.50032,
67,130,21.3732,
67,141,38.2132,
67,145,5.06373,
67,148,11.1302,
67,153,57.5109,
67,155,6.56855,
67,188,6.56064,
67,194,37.7985,
67,223,11.2732,
67,224,5.45944,
67,231,22.1305,
67,253,9.61562,
67,257,14.2147,
67,264,12.2645,
67,280,6.86501,
67,287,8.59889,
67,318,5.22079,
67,336,5.72444,
67,384,5.77578,
68,113,6.13777,
68,197,7.50771,
68,315,5.05391,
68,388,6.39265,
69,70,6.97406,
69,80,30.1248,
69,84,21.0095,
69,101,5.00764,
69,102,9.94606,
69,107,7.49418,
69,111,27.1346,
69,120,8.97528,
69,154,7.0684,
69,185,14.5584,
69,187,8.41883,
69,192,6.80678,
69,197,27.1832,
69,210,9.29229,
69,214,6.35982,
69,224,14.6293,
69,232,16.6474,
69,252,9.17969,
69,255,12.2263,
69,277,104.555,
69,296,12.5679,
69,319,33.7533,
69,360,5.58646,
69,384,5.57986,
69,386,27.4824,
70,84,6.75191,
70,102,13.4554,
70,107,5.97289,
70,112,9.08951,
70,145,10.1811,
70,153,6.93396,
70,194,73.9062,
70,261,5.34454,
70,307,7.99816,
70,386,18.4832,
70,388,5.39298,
71,99,7.47499,
71,108,7.1505,
71,129,34.3335,
71,132,11.6709,
71,167,6.07064,
71,202,8.82727,
71,235,19.8703,
71,244,33.1124,
71,248,11.931,
71,317,6.20003,
71,326,30.8611,
71,345,9.90621,
71,351,7.19944,
71,367,10.0505,
72,107,7.05085,
72,113,6.12505,
72,116,6.68085,
72,130,9.52832,
72,181,17.7911,
72,207,6.11247,
72,215,9.33397,
72,227,10.0869,
72,307,27.1045,
72,315,5.3006,
72,318,5.41401,
72,332,6.69458,
72,343,29.8866,
73,82,11.0331,
73,111,10.45,
73,116,12.2022,
73,120,18.5809,
73,125,1227.09,
73,151,10.7554,
73,153,22.1047,
73,174,8.35272,
73,185,5.26789,
73,192,6.68195,
73,197,5.65805,
73,198,13.3465,
73,206,6.66331,
73,207,51.5967,
73,210,17.5198,
73,231,18.273,
73,233,14.7393,
73,259,240.452,
73,298,12.8688,
73,304,10.1597,
73,312,5.63546,
73,329,8.21512,
73,334,89.9136,
74,75,5.53958,
74,76,7.69176,
74,101,10.8159,
74,119,12.5609,
74,149,28.8427,
74,166,6.63913,
74,193,7.48844,
74,214,11.9484,
74,234,5.97274,
74,252,6.15769,
74,266,5.36954,
74,277,8.14742,
74,294,9.03006,
74,305,33.965,
74,316,19.3016,
74,317,6.84774,
74,329,32.8313,
74,333,1064.62,
74,338,5.00865,
74,386,16.3864,
75,94,21.7108,
75,118,25.9894,
75,123,7.64532,
75,126,8.52958,
75,141,6.01802,
75,163,5.42668,
75,176,5.44773,
75,185,8.39402,
75,194,11.232,
75,212,6.8746,
75,248,50.1673,
75,262,5.83109,
75,283,45.1336,
75,285,6.73193,
75,287,8.25682,
75,288,9.80156,
75,289,19.4317,
75,298,19.506,
75,327,7.95989,
75,349,7.3119,
75,371,11.167,
76,77,5.6194,
76,79,6.55844,
76,82,55.6272,
76,87,148.324,
76,89,15.0393,
76,90,12.8032,
76,96,17.8903,
76,109,42.1226,
76,114,7.21132,
76,117,5.15391,
76,122,9.80258,
76,123,6.39188,
76,127,10.757,
76,135,7.98906,
76,140,36.1072,
76,144,41.0133,
76,151,13.3972,
76,152,7.91012,
76,155,19.1108,
76,160,13.1784,
76,162,6.15352,
76,163,8.24073,
76,165,38.7268,
76,167,10905.9,
76,168,22.9804,
76,174,5.41443,
76,180,8.72792,
76,188,13.6133,
76,196,5.59715,
76,211,71.5179,
76,212,9.97769,
76,218,5.09886,
76,220,6.17269,
76,221,75.8605,
76,222,21.9248,
76,225,8.61488,
76,226,9.39785,
76,232,20.0692,
76,240,10.2572,
76,241,13.6468,
76,245,22.7375,
76,248,9.92046,
76,249,7.95404,
76,250,34.1173,
76,251,8.11402,
76,252,12.2815,
76,262,7.78384,
76,265,7.41077,
76,268,15.4937,
76,269,9.88222,
76,273,17.6694,
76,274,6.54535,
76,276,16.3999,
76,281,13.8436,
76,282,9.73438,
76,285,67.1923,
76,288,23.4793,
76,289,11.9089,
76,291,6.32653,
76,295,5.92477,
76,302,6.55532,
76,304,10.2449,
76,306,6.40058,
76,308,5.36168,
76,323,8.58771,
76,326,9.21832,
76,327,26.116,
76,335,286.949,
76,338,144.199,
76,347,5.71293,
76,349,28.4069,
76,350,53.7842,
76,352,5.31585,
76,355,6.98733,
76,358,52.9794,
76,360,9.06459,
76,368,5.55137,
76,371,7.62613,
76,373,5.57563,
76,374,19.2001,
76,377,12.1487,
76,378,10.9152,
76,379,26.0504,
76,383,5.97264,
77,171,8.18758,
77,176,23.2912,
77,211,23.3649,
77,226,23.9079,
77,239,16.6916,
77,326,5.41153,
77,339,8.1475,
77,349,247.829,
78,84,6.71487,
78,99,9.36875,
78,108,5.77785,
78,124,18.726,
78,126,8.95991,
78,171,16.9614,
78,177,13.382,
78,184,7.025,
78,188,6.38692,
78,201,6.01082,
78,216,14.8663,
78,284,15.2252,
78,287,9.10273,
78,305,27.3928,
78,314,16.0945,
78,360,18.8166,
79,84,81.3412,
79,91,14.5543,
79,114,7.93797,
79,116,22.425,
79,124,11.1067,
79,126,78.2913,
79,150,11.6696,
79,153,8.24368,
79,167,68.4976,
79,185,12.0551,
79,190,16.5989,
79,201,9.48696,
79,206,6.54548,
79,207,12.7397,
79,211,5.94585,
79,219,7.26851,
79,265,5.57995,
79,283,6.32133,
79,284,6.3348,
79,288,10.8359,
79,298,16.4172,
79,305,7.74342,
79,338,10.2684,
79,339,14.6659,
79,344,77.6521,
79,355,5.32458,
79,356,35.1947,
79,362,103.39,
79,374,5.53709,
79,389,66.4486,
80,86,6.34249,
80,107,7.43209,
80,143,8.28843,
80,145,6.00586,
80,148,118.64,
80,154,5.83249,
80,198,15.9123,
80,246,34.0781,
80,277,14.6015,
80,388,20.5986,
81,84,28.2612,
81,108,17.4055,
81,110,38.8809,
81,114,7.42602,
81,128,18.8318,
81,141,12.8687,
81,226,10.7116,
81,239,14.561,
81,271,21.3417,
81,322,26.157,
81,338,6.63643,
81,345,90.917,
81,349,5.34172,
82,84,40.6505,
82,103,25.0572,
82,112,15.3181,
82,119,5.25433,
82,138,8.67991,
82,158,5.14874,
82,167,6.57601,
82,188,19.172,
82,194,5.86521,
82,206,5.95868,
82,234,8.9759,
82,255,10.7409,
82,259,25.4785,
82,261,16.3864,
82,264,115.766,
82,296,6.66463,
82,297,7.09315,
82,298,9.85078,
82,313,9.34118,
82,322,10.9746,
82,326,78.4541,
82,342,18.6357,
82,378,6.64467,
83,163,9.61206,
83,178,37.7054,
83,302,7.47762,
84,87,5.17787,
84,89,8.41359,
84,90,56.2535,
84,91,9.04955,
84,92,12.9444,
84,94,22.8027,
84,102,6.81577,
84,103,8.94855,
84,106,18.967,
84,109,8.99966,
84,110,8.57905,
84,111,9.22693,
84,114,62.5595,
84,116,7.94406,
84,119,39.6284,
84,120,15.9247,
84,122,15.3768,
84,124,5.37042,
84,127,13.7023,
84,129,17.4262,
84,130,6.48815,
84,134,9.95089,
84,139,2080.98,
84,140,7.47844,
84,142,7.86995,
84,147,19.2941,
84,151,19.5606,
84,159,64.9781,
84,160,49.821,
84,162,5.67646,
84,165,8.81526,
84,166,9.82784,
84,168,5.22543,
84,169,5.03923,
84,170,25.5997,
84,173,13.5781,
84,174,26.0992,
84,175,5.00289,
84,179,5.36945,
84,180,8.01979,
84,181,5.13032,
84,183,21.92,
84,185,22.5364,
84,188,127.048,
84,191,24.587,
84,194,11.5705,
84,204,142.397,
84,205,15.9133,
84,207,5.25586,
84,210,15.0509,
84,211,7.94076,
84,212,11.9839,
84,215,11.7382,
84,218,28.1289,
84,221,28.7956,
84,224,10.3719,
84,227,5.22591,
84,228,5.64796,
84,229,7.88899,
84,230,7.63279,
84,231,5.71991,
84,232,10.7616,
84,234,6.20616,
84,237,9.70223,
84,242,35.2962,
84,245,46.0601,
84,252,6.79686,
84,254,10.0618,
84,262,11.452,
84,263,7.6739,
84,265,70.958,
84,268,5.28618,
84,269,10.983,
84,274,9.66392,
84,275,17.3852,
84,276,20.9786,
84,277,7.86844,
84,278,7.75162,
84,279,10.399,
84,281,58.9265,
84,284,56.6329,
84,287,10.2821,
84,292,29.7863,
84,293,9.62262,
84,294,8.29048,
84,304,19.6734,
84,309,68.3768,
84,312,20.4205,
84,313,540.998,
84,319,385.423,
84,320,12.0431,
84,323,14.7221,
84,327,23.2374,
84,330,11.0556,
84,331,82.0819,
84,333,106.959,
84,334,37.5127,
84,336,11.2012,
84,341,24.9716,
84,344,497.687,
84,345,14.488,
84,346,6.61584,
84,347,21.2375,
84,351,10.5376,
84,355,9.08188,
84,357,9.29128,
84,358,5.39105,
84,361,7.55441,
84,364,14.3439,
84,365,11.5465,
84,366,6.85848,
84,368,8.06752,
84,369,5.85158,
84,372,18.8115,
84,373,7.30711,
84,374,5.15271,
84,376,21.0024,
84,381,7.82804,
84,382,34.6897,
84,383,55.3063,
84,384,30.5181,
84,385,106.113,
84,387,50.4823,
84,388,14.7125,
84,389,7.02519,
84,390,7.46284,
85,99,5.41577,
85,110,6.09931,
85,114,10.495,
85,141,17.2306,
85,200,18.3999,
85,214,6.32719,
85,243,8.36368,
85,283,34.1518,
85,349,5.15723,
85,351,5.07212,
86,98,21.5923,
86,99,5.33671,
86,105,8.08881,
86,107,9.12928,
86,111,5.18002,
86,113,6.3476,
86,116,21.3873,
86,119,10.156,
86,121,15.3167,
86,124,9.37663,
86,125,29.8186,
86,126,6.10698,
86,139,10.6234,
86,155,28.7797,
86,159,5.0738,
86,171,18.5501,
86,196,26.4705,
86,207,30.3216,
86,223,6.05538,
86,231,9.82831,
86,255,50.6127,
86,257,81.7802,
86,278,25.3777,
86,284,7.56255,
86,348,24.6897,
86,384,6.77965,
86,386,5.67507,
87,178,5.33562,
87,243,13.0927,
89,119,29.6272,
89,123,5.35856,
89,129,5.18816,
89,137,150.743,
89,141,5.48839,
89,152,5.37222,
89,164,25.398,
89,178,14.4848,
89,226,6.04905,
89,243,6.14239,
89,245,565.227,
89,249,5.11808,
89,251,8.67689,
89,252,5.64627,
89,268,5.25248,
89,272,14.5764,
89,295,45.4986,
89,324,7.01134,
89,326,19.8555,
90,94,16.512,
90,95,21.0338,
90,119,102.222,
90,185,21.0713,
90,188,18.1582,
90,212,27.9021,
90,235,69.6757,
90,252,31.0038,
90,260,9.1839,
90,283,5.13865,
90,296,5.97441,
90,317,10.9559,
90,326,11.1947,
90,354,10.4596,
90,389,6.13754,
91,103,5.52533,
91,111,5.99311,
91,112,24.9116,
91,124,15.3693,
91,138,19.8708,
91,141,9.78695,
91,147,7.80302,
91,155,5.14468,
91,158,8.63311,
91,228,20.9685,
91,255,26.1602,
91,259,10.5104,
91,298,9.81893,
91,313,14.1664,
91,334,47.8695,
91,336,7.29254,
91,340,17.4191,
91,348,1099.06,
91,362,24.2598,
91,364,50.1959,
91,381,11.9845,
91,382,7.00427,
92,99,5.16153,
92,109,5.56882,
92,128,7.74486,
92,158,46.7939,
92,180,5.31822,
92,188,9.82978,
92,196,7.64282,
92,216,5.62456,
92,227,14.3467,
92,247,8.34958,
92,283,10.5555,
92,284,10.8771,
92,298,10.6787,
92,313,15.6558,
92,346,5.24081,
92,347,6.94596,
92,367,5.19565,
92,389,13.3428,
93,124,7.20912,
93,205,14.7808,
93,212,13.9556,
93,221,6.7685,
93,223,10.5003,
93,270,10.0899,
93,292,13.9437,
93,305,6.76144,
93,330,961.686,
94,108,33.5365,
94,115,6.26567,
94,134,10.1092,
94,149,6.34007,
94,211,6.80456,
94,225,28.7857,
94,243,9.75912,
94,245,12.9834,
94,260,11.7112,
94,263,5.05155,
94,298,5.13663,
94,301,5.56108,
94,317,5.05292,
94,324,102.207,
94,339,17.6811,
94,348,15.6143,
94,360,19.241,
94,374,8.2309,
95,108,24.2596,
95,114,12.9108,
95,123,5.51521,
95,167,84.5405,
95,179,26.4497,
95,180,5.66289,
95,196,6.18714,
95,220,10.5318,
95,245,27.7679,
95,252,58.2215,
95,255,6.90718,
95,260,9.89669,
95,270,6.45261,
95,271,31.7476,
95,281,52.9211,
95,282,7.97568,
95,283,37.9121,
95,287,15.378,
95,293,7.21382,
95,296,16.0227,
95,298,14.9264,
95,317,61.9734,
95,326,12.6684,
95,331,6.27631,
95,335,21.7632,
95,345,8.4977,
95,349,29.9625,
95,353,15.4681,
95,363,8.70232,
96,115,34.3593,
96,150,13.3655,
96,158,10.2371,
96,188,17.9955,
96,210,8.1812,
96,259,5.49089,
96,265,7.3181,
96,283,21.1671,
96,298,50.0982,
96,310,5.11749,
96,380,21.163,
96,389,5.0252,
97,103,6.88935,
97,150,6.96518,
97,164,11.261,
97,196,13.6285,
97,199,17.0124,
97,220,6.23627,
97,230,19.4196,
97,235,12.6039,
97,252,14.7881,
97,283,17.5529,
97,291,7.28511,
97,305,6.81995,
97,318,7.48682,
97,324,5.70633,
97,326,5.28451,
97,383,6.14359,
98,120,5.92834,
98,138,10.711,
98,141,20.8622,
98,150,56.2664,
98,158,13.1289,
98,175,11.5946,
98,184,9.27607,
98,194,7.51433,
98,219,8.98983,
98,252,42.2236,
98,259,87.7194,
98,270,6.59576,
98,284,5.69161,
98,315,20.1241,
98,330,27.6903,
98,350,16.2342,
99,108,5.18072,
99,111,5.57658,
99,146,9.2097,
99,147,18.2851,
99,151,13.0881,
99,166,17.9093,
99,174,6.82102,
99,175,8.12968,
99,179,34.2312,
99,191,9.09724,
99,192,6.21021,
99,194,7.56811,
99,201,17.4673,
99,216,29.1529,
99,221,5.88271,
99,230,8.26699,
99,231,23.5837,
99,266,6.95526,
99,276,6.9338,
99,278,15.4164,
99,285,20.3632,
99,318,28.0265,
99,319,5.04835,
99,326,11.4257,
99,330,21.8246,
99,332,6.99567,
99,346,5.18476,
99,354,5.85965,
99,355,5.04065,
99,379,5.11349,
100,108,370.659,
100,118,5.95325,
100,119,5.61762,
100,124,5.49175,
100,196,17.6471,
100,205,5.90839,
100,211,10.2357,
100,228,80.7577,
100,243,5.01355,
100,264,5.59848,
100,270,7.02418,
100,283,7.75408,
100,305,5.71533,
100,312,18.1678,
100,366,9.32683,
100,372,21.0556,
101,107,44.2821,
101,113,5.46302,
101,116,6.36398,
101,130,8.67582,
101,139,26.4365,
101,141,7.65912,
101,145,6.50808,
101,148,61.329,
101,159,9.37043,
101,181,5.63028,
101,183,5.1798,
101,304,6.15799,
101,306,25.8066,
101,307,30.8961,
101,373,12.5056,
101,384,9.12242,
102,107,19.4034,
102,181,23.5293,
102,183,13.4477,
102,197,14.7268,
102,253,8.34945,
102,255,16.7995,
102,280,7.40448,
102,381,15.1036,
102,387,25.7616,
102,388,5.73242,
103,120,5.7071,
103,125,10.2706,
103,126,5.21815,
103,138,37.3032,
103,141,78.4642,
103,142,72.3958,
103,150,17.484,
103,160,26.2236,
103,175,7.4409,
103,192,6.76786,
103,194,6.17954,
103,216,28.9062,
103,227,13.4859,
103,232,66.4213,
103,234,65.4851,
103,261,18.6306,
103,266,5.42664,
103,274,9.51908,
103,275,5.1996,
103,278,5.89611,
103,284,14.527,
103,296,9.922,
103,297,9.82839,
103,298,5.70737,
103,318,9.53033,
103,334,19.8163,
103,354,11.1939,
103,355,9.98164,
103,360,19.9993,
103,362,12.7375,
103,365,6.74648,
103,367,70.6976,
103,374,7.30938,
105,116,5.20198,
105,146,5.03989,
105,158,126.681,
105,187,10.9201,
105,188,6.10026,
105,194,17.1772,
105,197,55.6874,
105,315,12.0658,
105,381,29.4603,
105,388,5.39209,
106,115,9.47609,
106,119,23.9383,
106,123,5.49866,
106,134,12.2088,
106,150,16.6492,
106,157,41.0821,
106,180,8.9299,
106,188,17.961,
106,194,8.09132,
106,196,7.40348,
106,201,8.28274,
106,202,5.12953,
106,212,5.16813,
106,215,8.01921,
106,216,29.2505,
106,232,10.5,
106,234,7.42842,
106,244,44.3783,
106,258,9.69693,
106,272,33.808,
106,274,16.4383,
106,276,23.9493,
106,287,7.45769,
106,292,26.6091,
106,293,12.0811,
106,294,6.26262,
106,301,47.9034,
106,333,8.80804,
106,339,21.9437,
106,340,5.95697,
106,346,21.9241,
106,354,8.80265,
106,355,16.5924,
106,357,5.36604,
106,358,9.25372,
106,365,6.68416,
106,370,6.90703,
106,377,5.05538,
106,382,17.8685,
106,386,8.24098,
106,389,5.93909,
107,112,15.3784,
107,121,12.8106,
107,122,6.7158,
107,126,16.2613,
107,130,6.9995,
107,148,6.60503,
107,151,19.8621,
107,175,14.2421,
107,177,8.77011,
107,181,31.0635,
107,183,6.4442,
107,185,18.5395,
107,194,80.3869,
107,197,7.76187,
107,198,5.97635,
107,207,31.8588,
107,224,47.0027,
107,246,24.2402,
107,284,5.88049,
107,287,38.4939,
107,296,93.7232,
107,314,24.4847,
107,319,10.2436,
107,387,12.756,
107,388,12.2567,
108,110,5.51151,
108,127,11.7388,
108,144,331.412,
108,155,12.9775,
108,164,5.84027,
108,173,5.77825,
108,176,10.5646,
108,179,9.01948,
108,186,8.51315,
108,190,5.5405,
108,193,19.7147,
108,203,78.6065,
108,220,9.40886,
108,225,91.3987,
108,226,5.08148,
108,246,8.00887,
108,251,11.4561,
108,265,25.9865,
108,267,6.98365,
108,273,5.95891,
108,275,52.8612,
108,282,7.23558,
108,284,5.69565,
108,288,14.1704,
108,289,14.9724,
108,291,6.13612,
108,310,10.9386,
108,316,5.14821,
108,328,21.9452,
108,338,14.4133,
108,346,8.80892,
108,349,7.65176,
108,352,9.76422,
108,358,17.5317,
108,362,41.9894,
108,363,5.18296,
108,369,100.568,
108,373,82.7057,
108,375,17.9022,
109,142,5.35755,
109,175,27.8823,
109,203,9.73695,
109,206,9.54764,
109,207,5.34477,
109,210,5.63161,
109,228,6.12202,
109,232,6.92487,
109,233,21.485,
109,234,59.4109,
109,270,5.71552,
109,283,6.37393,
109,284,5.98631,
109,298,9.35225,
109,304,6.11988,
109,313,8.9959,
109,318,6.85418,
109,322,15.1916,
109,348,25.6397,
109,350,51.0104,
109,362,12.6993,
109,365,5.86889,
110,119,7.12982,
110,129,669.775,
110,169,7.63159,
110,172,5.84086,
110,176,6.12153,
110,214,15.6938,
110,226,9.7165,
110,230,5.94004,
110,258,7.63417,
110,263,15.791,
110,286,6.96516,
110,289,13.7182,
110,291,28.0912,
110,295,5.66085,
110,301,2198.23,
110,309,18.3211,
110,310,6.75586,
110,321,19.7345,
110,326,6.14588,
110,338,13.3537,
110,373,5.35975,
111,126,5.8973,
111,128,13.0485,
111,149,8.95268,
111,153,45.5306,
111,177,42.4143,
111,194,10.6567,
111,214,6.43688,
111,261,5.32748,
111,270,19.7783,
111,280,9.08181,
111,284,5.54342,
111,388,5.29648,
112,125,23.51,
112,126,64.5091,
112,139,11.7578,
112,157,6.46529,
112,167,7.33897,
112,174,9.53486,
112,188,13.1136,
112,191,8.69077,
112,228,5.37789,
112,278,18.808,
112,279,895.504,
112,292,7.7118,
112,313,59.554,
112,329,12.6498,
112,348,6.31743,
112,355,13.5182,
112,362,5.74066,
112,365,10.2004,
112,378,10.1982,
113,197,5.3399,
113,234,28.5112,
113,255,6.30285,
113,280,17.2405,
113,365,8.69383,
113,388,5.32049,
114,115,9.59652,
114,123,17.3429,
114,133,11.3155,
114,134,64.5293,
114,138,5.37183,
114,142,6.05584,
114,159,27.3426,
114,160,91.7826,
114,171,79.463,
114,172,1069.12,
114,176,16.5938,
114,179,14.2681,
114,185,5.3541,
114,190,6.41633,
114,196,6.08726,
114,206,13.3284,
114,207,6.26782,
114,210,6.10091,
114,211,7.62787,
114,212,6.69691,
114,216,225.176,
114,227,5.99268,
114,228,21.3236,
114,230,20.4941,
114,234,17.5327,
114,235,5.10135,
114,237,24.9544,
114,238,6.80121,
114,242,5.85975,
114,249,5.25624,
114,250,6.37621,
114,260,21.7719,
114,270,7.48652,
114,274,5.94641,
114,275,6.22685,
114,276,12.4717,
114,279,9.19609,
114,282,15.5676,
114,286,50.9169,
114,289,7.27349,
114,292,8.07796,
114,293,5.29359,
114,298,5.37055,
114,303,5.00809,
114,306,11.4366,
114,316,12.1974,
114,320,5.11369,
114,325,20.1602,
114,326,15.4057,
114,332,6.87725,
114,336,118.831,
114,338,10.0394,
114,345,5.80353,
114,347,12.5642,
114,350,6.16284,
114,352,23.6694,
114,353,8.54476,
114,354,7.67065,
114,362,7.22998,
114,366,5.90892,
114,369,36.6878,
114,370,23.2898,
114,373,7.44121,
114,376,19.1836,
114,377,5.59454,
114,379,55.9408,
114,380,5.66872,
114,382,13.9966,
114,385,5.38912,
115,118,30.8408,
115,123,12.1747,
115,124,29.1552,
115,127,31.2655,
115,129,9.97521,
115,135,11.3405,
115,168,6.03536,
115,180,10.894,
115,188,6.71471,
115,190,9.16051,
115,194,7.56914,
115,204,20.3248,
115,212,13.271,
115,220,6.6959,
115,221,8.62581,
115,242,85.4843,
115,247,63.325,
115,248,13.7755,
115,249,8.45403,
115,267,5.62723,
115,272,8.50389,
115,276,5.79149,
115,284,5.88324,
115,288,7.74733,
115,295,5.64018,
115,305,30.9953,
115,330,5.1226,
115,340,10.0597,
115,346,11.2303,
115,358,11.5451,
115,359,7.08945,
115,363,5.17995,
115,379,5.05982,
115,387,6.24432,
116,130,14.2611,
116,139,6.91384,
116,148,9.72084,
116,151,38.7328,
116,153,31.8887,
116,187,8.33553,
116,192,6.74839,
116,198,152.355,
116,216,31.2016,
116,233,63.6455,
116,280,10.1097,
116,307,6.45685,
116,318,174.474,
116,319,74.4363,
116,386,12.5261,
117,127,71.052,
117,243,95.3692,
117,317,12.8342,
118,119,11.2447,
118,149,9.74598,
118,153,7.05945,
118,188,7.97163,
118,190,5.35926,
118,244,5.2595,
118,247,7.08573,
118,250,13.6663,
118,255,7.99857,
118,265,9.36056,
118,271,16.0171,
118,279,63.1381,
118,283,16.9599,
118,305,8.66213,
118,326,6.20181,
118,350,13.6109,
118,351,8.73671,
118,369,5.47684,
118,381,9.44621,
119,123,13.1676,
119,124,19.0933,
119,125,6.0175,
119,126,5.02902,
119,127,10.3972,
119,138,8.41424,
119,155,28.4768,
119,164,7.26005,
119,167,7.47945,
119,168,26.5978,
119,176,5.85956,
119,177,19.7243,
119,180,38.3461,
119,184,10.1434,
119,188,116.364,
119,190,5.46409,
119,199,5.52969,
119,203,114.468,
119,206,5.35275,
119,208,53.7662,
119,213,48.1844,
119,221,7.41707,
119,227,5.73577,
119,239,6.84223,
119,240,8.54902,
119,245,5.45526,
119,247,10.6514,
119,248,18.3384,
119,252,6.60477,
119,258,10.207,
119,261,18.248,
119,267,5.87827,
119,281,18.2314,
119,284,6.41957,
119,299,94.4594,
119,305,155.772,
119,310,7.88465,
119,317,8.91344,
119,320,6.24331,
119,332,5.90309,
119,335,5.18724,
119,338,29.0824,
119,340,11.4557,
119,347,11.8921,
119,355,5.21867,
119,358,7.28883,
119,361,14.3125,
119,363,8.38924,
119,372,5.66575,
119,378,22.9254,
119,383,5.29691,
119,387,47.9537,
120,130,39.8962,
120,153,40.5781,
120,160,6.09383,
120,252,6.02659,
120,253,7.69259,
120,255,5.2657,
120,257,28.8047,
120,261,14.2211,
120,264,8.79131,
120,277,6.4327,
120,355,7.42808,
120,387,69.8854,
120,388,5.40274,
121,148,5.65711,
121,153,5.07966,
121,155,14.1009,
121,185,62.1816,
121,192,547.983,
121,207,8.81836,
121,218,5.93017,
121,230,25.0307,
121,246,10.7354,
121,252,6.36044,
121,259,8.81252,
121,274,6.32177,
121,284,47.7492,
121,305,15.9222,
121,307,5.40086,
121,315,8.33374,
121,361,10.9004,
121,384,5.06044,
121,386,5.74992,
122,186,8.46496,
122,216,5.32237,
122,287,7.08745,
122,313,7.73641,
122,322,31.1128,
122,326,9.92033,
122,334,16.5195,
122,348,9.22624,
122,386,12.8022,
123,129,8.5414,
123,141,5.24041,
123,168,8.58295,
123,176,7.70698,
123,207,8.59755,
123,212,6.8563,
123,237,7.74906,
123,245,6.83026,
123,249,11.4214,
123,262,5.03322,
123,270,8.4313,
123,282,68.7764,
123,286,26.2786,
123,294,68.7137,
123,297,7.87457,
123,298,10.4483,
123,306,6.70871,
123,324,1069.79,
123,325,9.35416,
123,332,44.2164,
123,333,10.9842,
123,337,8.62376,
123,340,50.6718,
123,347,5.04515,
123,352,10.3633,
123,353,6.62548,
123,362,6.36084,
123,366,12.744,
123,371,24.2477,
123,376,10.2836,
123,379,7.53894,
124,134,98.3362,
124,141,5.36779,
124,142,10.9499,
124,146,18.5814,
124,160,20.0634,
124,175,5.15201,
124,184,7.91084,
124,191,10.6614,
124,196,14.2467,
124,201,11.2453,
124,203,5.53909,
124,206,12.8039,
124,208,6.47096,
124,216,7.3916,
124,221,10.255,
124,228,8.05829,
124,229,14.6312,
124,233,10.1991,
124,241,21.3321,
124,254,6.69733,
124,255,18.26,
124,270,5.63254,
124,275,19.2861,
124,278,110.095,
124,283,30.1219,
124,292,13.2371,
124,293,8.78808,
124,294,8.43133,
124,296,53.8494,
124,297,30.3852,
124,313,5.16067,
124,315,22.5488,
124,316,5.28345,
124,330,6.90592,
124,339,12.0547,
124,341,6.66887,
124,350,23.1589,
124,353,10.5791,
124,356,7.74829,
124,357,7.95606,
124,363,5.21712,
124,369,19.8662,
124,389,7.20049,
125,142,6.96532,
125,155,10.8091,
125,158,5.05488,
125,185,22.8142,
125,194,22.408,
125,206,5.4204,
125,216,64.1192,
125,228,12.1319,
125,255,7.80975,
125,284,367.242,
125,287,8.07685,
125,294,160.411,
125,296,6.83229,
125,349,130.11,
125,355,6.97364,
125,357,5.73746,
126,131,66.0068,
126,132,7.64241,
126,149,7.49396,
126,153,5.65366,
126,157,13.7992,
126,158,20.3941,
126,163,8.63108,
126,180,11.1898,
126,202,6.75591,
126,204,8.71609,
126,208,21.014,
126,218,18.2029,
126,222,8.60998,
126,226,25.2459,
126,309,5.20717,
126,311,13.6329,
126,332,56.6899,
126,340,16.2967,
126,346,10273,
126,347,7.64022,
126,351,15.2225,
126,356,34.0572,
126,367,9.28955,
126,372,5.38199,
126,381,5.14869,
127,132,5.54759,
127,135,9.27906,
127,141,34.4741,
127,151,8.31433,
127,166,22.4697,
127,172,9.19036,
127,202,10.1024,
127,235,6.35456,
127,243,15.2895,
127,268,10.9963,
127,272,15.0589,
127,294,5.24326,
127,309,28.9451,
127,326,8.33659,
127,351,6.18839,
127,359,5.20959,
127,367,189.526,
127,381,83.0617,
128,141,40.1578,
128,147,7.03381,
128,175,8.06012,
128,188,6.87883,
128,203,106.4,
128,221,7.86764,
128,229,13.3646,
128,232,6.42639,
128,234,8.36781,
128,267,5.89651,
128,270,6.63889,
128,272,9.00583,
128,292,15.3267,
128,294,9.5384,
128,313,5.67645,
128,316,23.3221,
128,322,6.68995,
128,323,5.08584,
128,325,8.41788,
128,331,31.0835,
128,336,8.5919,
128,339,7.33797,
128,345,6.47168,
128,354,357.902,
128,358,21.5026,
128,360,5.21585,
128,361,5.45318,
128,370,15.2521,
128,380,15.6122,
129,133,10.097,
129,171,33.8614,
129,173,7.84199,
129,179,7.80196,
