NO.1,NO.2,diff-correlation
15,259,24.9789,
15,274,7.85432,
15,388,12.0113,
16,35,10.4637,
16,97,7.96395,
16,108,6.09758,
16,149,10.6382,
16,164,10.1964,
16,204,15.557,
16,211,13.2993,
16,238,8.93582,
16,239,12.9635,
16,240,54.3061,
16,243,8.64788,
16,249,91.5001,
16,252,6.88329,
16,269,7.09057,
16,270,18.8047,
16,298,14.8974,
16,326,42.5547,
16,331,7.0309,
16,340,5.75056,
16,344,7.06556,
16,345,111.916,
16,352,7361.32,
16,355,41.2585,
16,367,33.5053,
16,368,12.7681,
16,370,20.9821,
16,376,32.7367,
16,380,33.6103,
17,67,17.2379,
17,78,8.23711,
17,139,21.1143,
17,151,43.8993,
17,175,13.9482,
17,180,5.41729,
17,188,13.7699,
17,191,17.9062,
17,201,10.232,
17,206,11.7416,
17,228,7.47821,
17,234,5.3095,
17,244,18.7728,
17,252,10.4037,
17,257,13.9405,
17,259,155.026,
17,270,7.43483,
17,277,35.3378,
17,294,6.32785,
17,296,5.00867,
17,298,11.6431,
17,318,5.22326,
17,330,5.07131,
17,333,14.0968,
17,334,6.4433,
17,336,10.393,
17,345,11.728,
17,348,23.1722,
17,356,7.74673,
17,362,15.7743,
17,371,9.44276,
17,377,11.4203,
17,381,8.33277,
17,386,10.4177,
17,387,143.592,
18,51,6.53396,
18,54,29.7096,
18,68,9.326,
18,84,5.78235,
18,107,12.3417,
18,143,5.35924,
18,145,13.3142,
18,194,6.67045,
18,253,20.9036,
18,296,20.071,
18,315,12.2366,
19,62,11.489,
19,76,56.4938,
19,84,5.88644,
19,85,27.2181,
19,141,16.6856,
19,144,6.00596,
19,172,15.5908,
19,193,5.14482,
19,199,5.68309,
19,203,11.1348,
19,204,21.037,
19,213,12.4057,
19,235,6.63428,
19,311,11.6791,
19,335,5.89102,
19,363,5.69864,
21,24,102.107,
21,36,6.64166,
21,72,7.1353,
21,73,5.7438,
21,80,5.7388,
21,113,7.3067,
21,145,48.4801,
21,181,6.33562,
21,197,7.17777,
21,388,6.41898,
22,89,2126.12,
22,117,35.4917,
22,127,6.15838,
22,137,14.3312,
22,144,13.5559,
22,200,5.02305,
22,222,82.1443,
22,236,18.4225,
22,268,8.76183,
22,283,16.5918,
22,308,15.7284,
22,311,6.12821,
22,349,38.5142,
23,31,13.6961,
23,34,19.6147,
23,35,9.14847,
23,41,6.66203,
23,57,1330.31,
23,69,9.53811,
23,70,20.0469,
